description,code
When more than 10000000 seconds have passed since start,"<Condition name=""DummyManeuverStartTime"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""10000000"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When the simulation time reaches 5 seconds or more,"<Condition name=""StartTime"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""5"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When the straight-line distance between the hero and the object adversary reaches the displacement area of ​​14.0m or less,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""cartesianDistance"" value=""14.0"" freespace=""false"" rule=""lessThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the CyclistStartsWalking action is completed,"<Condition name=""AfterCyclistStartsWalking"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""CyclistStartsWalking"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
If hero stops for 0.1 seconds,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <StandStillCondition duration=""0.1"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
CyclistStopsAndWaits When the operation has completed,"<Condition name=""AfterCyclistStopsAndWaits"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""CyclistStopsAndWaits"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
When the CyclistStartsWalkingAway event has completed,"<Condition name=""AfterCyclistStartsWalking"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""CyclistStartsWalkingAway"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
If it drives a total of 10.0m,"<Condition name=""OverallStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""10.0"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
If it moves 200.0m,"<Condition name=""EndCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""200.0"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
If the parameter distance_success is 100,"<Condition name=""criteria_DrivenDistanceTest"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <ParameterCondition parameterRef=""distance_success"" value=""100"" rule=""lessThan"" />
  </ByValueCondition>
</Condition>"
When narrowed down to adversary and below 40.0m,"<Condition name=""StartConditionLeadingVehicleKeepsVelocity"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""longitudinal"" value=""40.0"" freespace=""true"" rule=""lessThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the preceding action 'LeadingVehicleKeepsVelocity' enters the end phase.,"<Condition name=""AfterLeadingVehicleKeepsVelocity"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""LeadingVehicleKeepsVelocity"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
If hero runs 1.0m,"<Condition name=""OverallStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""1.0"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
0 seconds after simulation start,"<Condition name=""StartTime"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0"" rule=""equalTo"" />
  </ByValueCondition>
</Condition>"
"When the hero approaches the adversary within a longitudinal distance of 20.0m or less,","<Condition name=""StartConditionLeadingVehicleKeepsVelocity"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""longitudinal"" value=""20.0"" freespace=""true"" rule=""lessThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
0.1 seconds after starting simulation,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0.1"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When hero travels 0.1m,"<Condition name=""OverallStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""0.1"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the straight-line distance between the hero and the object adversary reaches the displacement area of ​​40.0m or less,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""cartesianDistance"" value=""40.0"" freespace=""false"" rule=""lessThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
AdversaryAccelerates when the action is complete,"<Condition name=""AfterAdversaryAccelerates"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""AdversaryAccelerates"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
When the straight-line distance between the hero and the object adversary reaches the displacement area of ​​20.0m or less,"<Condition name=""StartConditionLeadingVehicleKeepsVelocity"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""cartesianDistance"" value=""20.0"" freespace=""false"" rule=""lessThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
If hero travels 20000.0m,"<Condition name=""EndCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""20000.0"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
"When hero enters the range of x:140, y:55","<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <ReachPositionCondition tolerance=""2.0"">
        <Position>
          <WorldPosition x=""140"" y=""55"" z=""0"" h=""180"" />
        </Position>
      </ReachPositionCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
120.0 seconds after simulation start,"<Condition name=""OverallStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""120.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
After 120.0 seconds,"<Condition name=""EndCondition"" delay=""1"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""120.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When system argument distance_success is < 70,"<Condition name=""criteria_DrivenDistanceTest"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <ParameterCondition parameterRef=""distance_success"" value=""70"" rule=""lessThan"" />
  </ByValueCondition>
</Condition>"
When the adversary travels 10m,"<Condition name=""AfterLeadingVehicleTravel"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""adversary"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""10"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the adversary travels 20m,"<Condition name=""AfterLeadingVehicleTravel"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""adversary"" />
    </TriggeringEntities>
    <EntityCondition>
      <TraveledDistanceCondition value=""20"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
"x:92.5, y:91 when the target is within 52m","<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <DistanceCondition value=""52"" freespace=""false"" alongRoute=""false"" rule=""lessThan"">
        <Position>
          <WorldPosition x=""92.5"" y=""91"" z=""0.2"" h=""-1.56"" />
        </Position>
      </DistanceCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
"When the hero approaches the adversary at a longitudinal distance of 35.0m or more,","<Condition name=""StartConditionLeadingVehicleKeepsVelocity"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""hero"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""adversary"" relativeDistanceType=""longitudinal"" value=""35.0"" freespace=""true"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
"When the EgoVehicle approaches a longitudinal distance of $Maneuver_TriggerDistancem from the ChallengingVehicle,","<Condition name=""BrakingTrigger"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""EgoVehicle"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition entityRef=""ChallengingVehicle"" relativeDistanceType=""longitudinal"" value=""$Maneuver_TriggerDistance"" freespace=""false"" rule=""$Maneuver_TriggerRule"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
0.0 seconds after starting simulation,"<Condition name=""ChallengingVehicle_BrakingAct_StartTrigger"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When $Simulation_StopTime seconds have passed since the simulation started,"<Condition name=""SimulationEnd"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$Simulation_StopTime"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When more than 1 second has passed since starting,"<Condition name=""SwerveTrigger1"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""1"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When the action step 'ChallengingVehicle_SwerveAction1' enters the end step,"<Condition name=""SwerveTrigger2"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""ChallengingVehicle_SwerveAction1"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
ChallengingVehicle_SwerveAction2 When the action enters the termination phase.,"<Condition name=""SwerveTrigger3"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""ChallengingVehicle_SwerveAction2"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When the stage of the 'ChallengingVehicle_SwerveAction3' event enters the end stage,"<Condition name=""SwerveTrigger4"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""ChallengingVehicle_SwerveAction3"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
ChallengingVehicle_SwerveAction4 When the action enters the termination phase.,"<Condition name=""SwerveTrigger5"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""ChallengingVehicle_SwerveAction4"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When the action step 'ChallengingVehicle_SwerveAction5' enters the end step,"<Condition name=""SwerveTrigger6"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""ChallengingVehicle_SwerveAction5"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When ${$entity_name + trajectory event} event is completed,"<Condition name=""${$entity_name + straigening trigger}"" delay=""0.0"" conditionEdge=""none"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""${$entity_name + trajectory event}"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
When more than 0.0 seconds have passed since starting,"<Condition name=""act_start"" delay=""0.0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
10.0 seconds after starting simulation,"<Condition name=""endtrigger"" delay=""0.0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""10.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When it gets closer to Ego within 2m,"<Condition name=""Target_distance"" delay=""0.0"" conditionEdge=""none"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Target"" />
    </TriggeringEntities>
    <EntityCondition>
      <RelativeDistanceCondition value=""2"" freespace=""true"" entityRef=""Ego"" rule=""greaterThan"" relativeDistanceType=""longitudinal"" coordinateSystem=""entity"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When Ego shows 0.0 second headway behind Target,"<Condition name=""Target_headway"" delay=""0.0"" conditionEdge=""none"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <TimeHeadwayCondition entityRef=""Target"" value=""0.0"" relativeDistanceType=""longitudinal"" coordinateSystem=""road"" freespace=""true"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the target act action is completed,"<Condition name=""endtrigger"" delay=""3.0"" conditionEdge=""none"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""act"" storyboardElementRef=""target act"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
When Target physically collides with an Ego object,"<Condition name=""target_collision_condition"" delay=""0.5"" conditionEdge=""none"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Target"" />
    </TriggeringEntities>
    <EntityCondition>
      <CollisionCondition>
        <EntityRef entityRef=""Ego"" />
      </CollisionCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When more than $LaneChange1Time seconds have passed since starting,"<Condition name=""LaneChange1Condition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$LaneChange1Time"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
$LaneChange2Time seconds after simulation start,"<Condition name=""LaneChange2Condition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$LaneChange2Time"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When $BrakeTime seconds have passed since the simulation started,"<Condition name=""BrakeCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$BrakeTime"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When more than $AccelerateTime seconds have passed since startup,"<Condition name=""BrakeCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$AccelerateTime"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When $Brake2Time seconds have passed since the simulation started,"<Condition name=""Brake2Condition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""$Brake2Time"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
2 seconds after starting simulation,"<Condition name=""EgoSpeedCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""2"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
10 seconds after starting simulation,"<Condition name=""EgoSpeedCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""10"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When more than 0 seconds have passed since starting,"<Condition name=""CutInActStart"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When the 'TargetBrake2Event' operation stage enters the end stage,"<Condition name=""StopCondition"" delay=""12"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""TargetBrake2Event"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When the preceding action 'TargetBrake2Event' enters the termination phase,"<Condition name=""ActStopCondition"" delay=""7"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""TargetBrake2Event"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
2.0 seconds after starting simulation,"<Condition name=""LaneChange1Condition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""2.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
LaneChange1Event When the action is in the starting phase,"<Condition name=""BrakeCondition"" delay=""$TargetBrakeTime"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""LaneChange1Event"" state=""startTransition"" />
  </ByValueCondition>
</Condition>"
TargetreduceSpeedEvent When the event enters the termination phase,"<Condition name=""ActStopCondition"" delay=""3"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""TargetreduceSpeedEvent"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When Ego physically collides with a Target object,"<Condition name=""CollisionCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <CollisionCondition>
        <EntityRef entityRef=""Target"" />
      </CollisionCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
After 6 seconds,"<Condition name=""StopTrigger"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""6"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When more than 2 seconds have passed since starting,"<Condition name=""SloppyDriverCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""2"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
10 seconds after starting simulation,"<Condition name=""InteractiveDriverLateralCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""10"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
After 20 seconds,"<Condition name=""InteractiveDriverLongitudinalCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""20"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When more than 30 seconds have passed since starting,"<Condition name=""BetterSloppyDriverCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""30"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
40 seconds after starting simulation,"<Condition name=""DefaultControllerCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <SimulationTimeCondition value=""40"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When Ego reaches within the radius tolerance of 10.0m based on the 750.0m point in lane 0,"<Condition name=""QuitWhenReachPositionCondition"" delay=""0.0"" conditionEdge=""none"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <ReachPositionCondition tolerance=""10.0"">
        <Position>
          <LanePosition roadId=""0"" laneId=""0"" s=""750.0"" />
        </Position>
      </ReachPositionCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
After 1200 seconds,"<Condition name=""StopSimulationCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""1200"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
When the preceding action 'CutInAndBrakeAct' is the starting step,"<Condition name=""OverTakerStartSpeedCondition"" delay=""0"" conditionEdge=""none"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""act"" storyboardElementRef=""CutInAndBrakeAct"" state=""startTransition"" />
  </ByValueCondition>
</Condition>"
When the headway time from $owner is $HeadwayTime_LaneChange seconds,"<Condition name=""CutInStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <TimeHeadwayCondition entityRef=""$owner"" value=""$HeadwayTime_LaneChange"" freespace=""false"" coordinateSystem=""road"" relativeDistanceType=""longitudinal"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When Ego shows $HeadwayTime_Brake second headway behind $owner,"<Condition name=""${BrakeCondition_HWT + _ + $HeadwayTime_Brake}"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <TimeHeadwayCondition entityRef=""$owner"" value=""$HeadwayTime_Brake"" freespace=""false"" coordinateSystem=""entity"" relativeDistanceType=""longitudinal"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the CutInManeuver action enters the termination phase,"<Condition name=""StopCondition"" delay=""5"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""maneuver"" storyboardElementRef=""CutInManeuver"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
When the headway time from $owner is $HeadwayTime_LaneChange seconds,"<Condition name=""CutInStartCondition"" delay=""0"" conditionEdge=""none"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <TimeHeadwayCondition entityRef=""$owner"" value=""$HeadwayTime_LaneChange"" freespace=""false"" alongRoute=""true"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the headway time from $owner is $HeadwayTime_Brake seconds,"<Condition name=""BrakeCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""Ego"" />
    </TriggeringEntities>
    <EntityCondition>
      <TimeHeadwayCondition entityRef=""$owner"" value=""$HeadwayTime_Brake"" freespace=""true"" alongRoute=""false"" rule=""greaterThan"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When the preceding action 'OvertakerBrakeEvent' enters the end phase.,"<Condition name=""StopCondition"" delay=""5"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""event"" storyboardElementRef=""OvertakerBrakeEvent"" state=""endTransition"" />
  </ByValueCondition>
</Condition>"
