description,code
"controls the acceleration and deceleration of the vehicle  ${0.3666666666666667*$traj_length/$target_init_speed} seconds at ${0.8*$target_init_speed}m/s, ${0.44*$traj_length/$target_init_speed} second time ${0.7*$target_init_speed}m/s, ${0.4533333333333333*$traj_length/$target_init_speed} second time point ${0.8*$target_init_speed}m/s, ${0*$traj_length/$target_init_speed} second time point ${1*$target_init_speed}m/s, ${0.3666666666666667*$traj_length/$target_init_speed} seconds ${0.8*$target_init_speed}m/s, ${0.44*$traj_length/$target_init_speed} seconds ${0.7*$target_init_speed}m/s.in detail at ${0.4533333333333333*$traj_length/$target_init_speed} seconds (${0.8*$target_init_speed}m/s). based on predefined dynamic speed profiles (${1*$target_init_speed}m/s at ${0*$traj_length/$target_init_speed} seconds","<PrivateAction>
  <LongitudinalAction>
    <SpeedProfileAction followingMode=""position"">
      <SpeedProfileEntry speed=""${1*$target_init_speed}"" time=""${0*$traj_length/$target_init_speed}"" />
      <SpeedProfileEntry speed=""${0.8*$target_init_speed}"" time=""${0.3666666666666667*$traj_length/$target_init_speed}"" />
      <SpeedProfileEntry speed=""${0.7*$target_init_speed}"" time=""${0.44*$traj_length/$target_init_speed}"" />
      <SpeedProfileEntry speed=""${0.8*$target_init_speed}"" time=""${0.4533333333333333*$traj_length/$target_init_speed}"" />
    </SpeedProfileAction>
  </LongitudinalAction>
</PrivateAction>"
"drives precisely (FollowTrajectory) along a straight line (Polyline) trajectory that moves in order from the opponent lane (dLane=0, dsLane=0.0) to the opponent lane (dLane=0, dsLane=0.1).","<PrivateAction>
  <RoutingAction>
    <FollowTrajectoryAction>
      <TrajectoryRef>
        <Trajectory name=""${$entity_name + straightening trajectory}"" closed=""false"">
          <Shape>
            <Polyline>
              <Vertex>
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""0.0"" offset=""0.0"" dLane=""0"" />
                </Position>
              </Vertex>
              <Vertex>
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""0.1"" offset=""0.0"" dLane=""0"" />
                </Position>
              </Vertex>
            </Polyline>
          </Shape>
        </Trajectory>
      </TrajectoryRef>
      <TimeReference>
        <None />
      </TimeReference>
      <TrajectoryFollowingMode followingMode=""position"" />
    </FollowTrajectoryAction>
  </RoutingAction>
</PrivateAction>"
changes to the left lane of Ego.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""1.5"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""Ego"" value=""1"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes to Ego’s lane.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""1.4"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""Ego"" value=""0"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed to 0m/s linearly at a rate of -4m/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""-4"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 50m/s linearly at a rate of 10m/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""10"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""50"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 5m/s linearly at a rate of 8m/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""-8"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""5"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 1m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""1"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to ${0.25 * $EgoSpeed ​​/ 3.6}m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""${0.25 * $EgoSpeed / 3.6}"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes to Ego’s lane.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""3.0"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""Ego"" value=""0"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed to 0m/s linearly at a rate of $TargetBrakeRatem/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""$TargetBrakeRate"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
sets 'sloppyDriver' controller.,"<PrivateAction>
  <ControllerAction>
    <AssignControllerAction>
      <CatalogReference catalogName=""ControllerCatalog"" entryName=""sloppyDriver"">
        <ParameterAssignments>
          <ParameterAssignment parameterRef=""$Sloppiness"" value=""0.7"" />
        </ParameterAssignments>
      </CatalogReference>
    </AssignControllerAction>
  </ControllerAction>
</PrivateAction>"
activates lateral controller.,"<PrivateAction>
  <ActivateControllerAction longitudinal=""false"" lateral=""true"" />
</PrivateAction>"
sets 'interactiveDriver' controller.,"<PrivateAction>
  <ControllerAction>
    <AssignControllerAction>
      <CatalogReference catalogName=""ControllerCatalog"" entryName=""interactiveDriver"" />
    </AssignControllerAction>
  </ControllerAction>
</PrivateAction>"
activates longitudinal controller.,"<PrivateAction>
  <ActivateControllerAction longitudinal=""true"" lateral=""false"" />
</PrivateAction>"
sets 'sloppyDriver' controller.,"<PrivateAction>
  <ControllerAction>
    <AssignControllerAction>
      <CatalogReference catalogName=""ControllerCatalog"" entryName=""sloppyDriver"">
        <ParameterAssignments>
          <ParameterAssignment parameterRef=""$Sloppiness"" value=""0.4"" />
        </ParameterAssignments>
      </CatalogReference>
    </AssignControllerAction>
  </ControllerAction>
</PrivateAction>"
deactivates longitudinal and lateral controllers.,"<PrivateAction>
  <ActivateControllerAction longitudinal=""false"" lateral=""false"" />
</PrivateAction>"
changes the speed to Ego's $TargetSpeedFactor times the speed.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <RelativeTargetSpeed entityRef=""Ego"" value=""$TargetSpeedFactor"" speedTargetValueType=""factor"" continuous=""true"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes to Ego’s lane.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""3"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""Ego"" value=""0"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed to 1.2 times the Ego speed.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <RelativeTargetSpeed entityRef=""Ego"" value=""1.2"" speedTargetValueType=""factor"" continuous=""true"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 0m/s linearly at a rate of -5m/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""-5"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
accelerates and decelerates smoothly over 6 seconds and changes the speed to 25m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsDimension=""time"" dynamicsShape=""sinusoidal"" value=""6"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""25"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
never changes to -3 lanes on the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsDimension=""time"" dynamicsShape=""sinusoidal"" value=""4"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""-3"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed to 20 m/s linearly over 10 seconds.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsDimension=""time"" dynamicsShape=""linear"" value=""10"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""20"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
"sets visibility to display graphics, hide sensors, or display traffic.","<PrivateAction>
  <VisibilityAction sensors=""false"" graphics=""true"" traffic=""true"" />
</PrivateAction>"
"sets visibility to hide graphics, show sensors, or show traffic.","<PrivateAction>
  <VisibilityAction graphics=""false"" sensors=""true"" traffic=""true"" />
</PrivateAction>"
"sets visibility with graphical display, sensor display, and traffic display.","<PrivateAction>
  <VisibilityAction graphics=""true"" sensors=""true"" traffic=""true"" />
</PrivateAction>"
maintains a distance of $Gap_dist1m from Ego.,"<PrivateAction>
  <LongitudinalAction>
    <LongitudinalDistanceAction continuous=""true"" entityRef=""Ego"" distance=""$Gap_dist1"" freespace=""true"">
      <DynamicConstraints maxAcceleration=""$Max_acc"" maxDeceleration=""$Max_ret"" maxSpeed=""40"" />
    </LongitudinalDistanceAction>
  </LongitudinalAction>
</PrivateAction>"
maintains a distance of $Gap_dist2m from Ego.,"<PrivateAction>
  <LongitudinalAction>
    <LongitudinalDistanceAction continuous=""false"" entityRef=""Ego"" distance=""$Gap_dist2"" freespace=""true"" displacement=""trailingReferencedEntity"">
      <DynamicConstraints maxAcceleration=""$Max_acc"" maxDeceleration=""$Max_ret"" maxSpeed=""40"" />
    </LongitudinalDistanceAction>
  </LongitudinalAction>
</PrivateAction>"
"moves near bike-based object coordinates (dx:0, dy:0).","<PrivateAction>
  <TeleportAction>
    <Position>
      <RelativeObjectPosition entityRef=""bike"" dx=""0"" dy=""0"" dz=""-0.1"">
        <Orientation type=""relative"" r=""1.57"" />
      </RelativeObjectPosition>
    </Position>
  </TeleportAction>
</PrivateAction>"
changes the speed to 0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed linearly to 40 m/s over 2 seconds.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""2"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""40"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed linearly to ${100/3.6}m/s over 2 seconds.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""2"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""${100/3.6}"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes to absolute -2 lanes of the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""2"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""-2"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
never changes to -3 lanes on the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""2"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""-3"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed linearly to 10 m/s over 2 seconds.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""2"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 0m/s linearly at a rate of 10m/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""10"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
never changes to lane 1 of the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""step"" value=""$lane_change_duration"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""1"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes to the absolute -1 lane of the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""linear"" value=""$lane_change_duration"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""-1"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
never changes to lane 1 of the road.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""$lane_change_duration"" dynamicsDimension=""time"" />
      <LaneChangeTarget>
        <AbsoluteTargetLane value=""1"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
