description,code
The car entity 'adversary3' with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""adversary3"">
  <Vehicle name=""vehicle.tesla.model3"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
      <Property name=""color"" value=""255,0,0"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The diamondback bicycle entity 'adversary' with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""adversary"">
  <Vehicle name=""vehicle.audi.tt"" vehicleCategory=""bicycle"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The vehicle entity is,"<ScenarioObject name=""adversary"">
  <Vehicle name=""vehicle.lincoln.mkz_2017"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The car entity 'standing' with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""standing"">
  <Vehicle name=""vehicle.volkswagen.t2"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'volkswagen.t2' is,"<ScenarioObject name=""hero"">
  <Vehicle name=""vehicle.volkswagen.t2"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""ego_vehicle"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The pedestrian entity 'adversary' with a mass of 90.0 kg is,"<ScenarioObject name=""adversary"">
  <Pedestrian model=""walker.pedestrian.0001"" mass=""90.0"" name=""walker.pedestrian.0001"" pedestrianCategory=""pedestrian"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </Pedestrian>
</ScenarioObject>"
The vehicle entity with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""hero"">
  <Vehicle name=""vehicle.nissan.micra"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""ego_vehicle"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The obstacle entity 'c1' with a mass of 500.0 kg is,"<ScenarioObject name=""c1"">
  <MiscObject mass=""500.0"" name=""static.prop.container"" miscObjectCategory=""obstacle"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""-1.0"" y=""0.0"" z=""0.85"" />
      <Dimensions width=""1.0"" length=""2.0"" height=""1.7"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </MiscObject>
</ScenarioObject>"
The obstacle entity 'c2' with a mass of 500.0 kg is,"<ScenarioObject name=""c2"">
  <MiscObject mass=""500.0"" name=""static.prop.container"" miscObjectCategory=""obstacle"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""-1.0"" y=""0.0"" z=""0.85"" />
      <Dimensions width=""1.0"" length=""2.0"" height=""1.7"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </MiscObject>
</ScenarioObject>"
The obstacle entity 'c3' is,"<ScenarioObject name=""c3"">
  <MiscObject mass=""500.0"" name=""static.prop.container"" miscObjectCategory=""obstacle"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""-1.0"" y=""0.0"" z=""0.85"" />
      <Dimensions width=""1.0"" length=""2.0"" height=""1.7"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </MiscObject>
</ScenarioObject>"
The obstacle entity 'c4' with a mass of 500.0 kg is,"<ScenarioObject name=""c4"">
  <MiscObject mass=""500.0"" name=""static.prop.container"" miscObjectCategory=""obstacle"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""-1.0"" y=""0.0"" z=""0.85"" />
      <Dimensions width=""1.0"" length=""2.0"" height=""1.7"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </MiscObject>
</ScenarioObject>"
The obstacle entity 'c5' with a mass of 500.0 kg is,"<ScenarioObject name=""c5"">
  <MiscObject mass=""500.0"" name=""static.prop.container"" miscObjectCategory=""obstacle"">
    <ParameterDeclarations />
    <BoundingBox>
      <Center x=""-1.0"" y=""0.0"" z=""0.85"" />
      <Dimensions width=""1.0"" length=""2.0"" height=""1.7"" />
    </BoundingBox>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </MiscObject>
</ScenarioObject>"
The car entity is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.92"" length=""4.95"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.92"" length=""4.35"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The truck entity 'EgoVehicle' is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""truck"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""2.5"" length=""19.1"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.82"" length=""3.94"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The vehicle entity with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.62"" length=""4.35"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'EgoVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.82"" length=""4.75"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The vehicle entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.92"" length=""4.95"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'EgoVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.72"" length=""4.55"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'ChallengingVehicle' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.72"" length=""4.14"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'EgoVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""2.02"" length=""5.36"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.72"" length=""4.55"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'EgoVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.62"" length=""3.74"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""2.02"" length=""4.75"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity 'ChallengingVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.62"" length=""3.74"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'challenging_car' is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.92"" length=""5.15"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The truck entity is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""truck"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""2.5"" length=""16.67"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The truck entity 'ChallengingVehicle' with a maximum speed performance of 60 m/s is,"<ScenarioObject name=""ChallengingVehicle"">
  <Vehicle name=""challenging_car"" vehicleCategory=""truck"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""2.63"" length=""6.57"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'ego_car' is,"<ScenarioObject name=""EgoVehicle"">
  <Vehicle name=""ego_car"" vehicleCategory=""car"">
    <BoundingBox>
      <Center x=""1.4"" y=""0.0"" z=""0.8"" />
      <Dimensions width=""1.82"" length=""4.85"" height=""1.6"" />
    </BoundingBox>
    <Performance maxSpeed=""60"" maxAcceleration=""6"" maxDeceleration=""10"" />
    <Axles>
      <FrontAxle maxSteering=""0.8"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""2.98"" positionZ=""0.4"" />
      <RearAxle maxSteering=""0"" wheelDiameter=""0.8"" trackWidth=""1.68"" positionX=""0"" positionZ=""0.4"" />
    </Axles>
    <Properties />
  </Vehicle>
</ScenarioObject>"
